GID,alea_argile
410002340,fort
410002341,fort
410002342,fort
410002343,fort
410002344,fort
410002346,fort
410002348,fort
410002349,fort
410002351,fort
410002354,fort
410002355,fort
410002357,fort
410002734,fort
410002736,fort
410002737,fort
410002738,fort
410002744,fort
410002745,fort
410002746,fort
410002747,fort
410002748,fort
410002749,fort
410002750,fort
410002755,fort
410002756,fort
410002757,fort
410001492,fort
410001493,fort
410001494,fort
410001495,fort
410001500,fort
410001503,fort
410001504,fort
410001505,fort
410001506,fort
410001507,fort
410001508,fort
410001510,fort
410001511,fort
410001513,fort
410001514,fort
410001926,fort
410001927,fort
410001929,fort
410001931,fort
410001933,fort
410001934,fort
410001935,fort
410001936,fort
410001937,fort
410001938,fort
410001939,fort
410001940,fort
410001941,fort
410001942,fort
410001946,fort
410002360,fort
410002361,fort
410002362,fort
410002363,fort
410002364,fort
410002365,fort
410002366,fort
410002367,fort
410002368,fort
410002369,fort
410002370,fort
410002371,fort
410002372,fort
410002373,fort
410002374,fort
410002375,fort
410002376,fort
410002377,fort
410002379,fort
410002758,fort
410002764,fort
410002765,fort
410002766,fort
410002767,fort
410002768,fort
410002769,fort
410002770,fort
410002771,fort
410002772,fort
410002773,fort
410002774,fort
410002775,fort
410002776,fort
410002777,fort
410002778,fort
410002780,fort
410001518,fort
410001522,fort
410001523,fort
410001524,fort
410001526,fort
410001527,fort
410001535,fort
410001536,fort
410001545,fort
410001547,fort
410924726,moyen
410924728,fort
410957972,fort
410001955,fort
410001958,fort
410001960,fort
410001962,fort
410001963,fort
410001964,fort
410001965,fort
410001966,fort
410001967,fort
410001968,fort
410001969,fort
410002381,fort
410002382,fort
410002384,fort
410002385,fort
410002386,fort
410002387,fort
410002388,fort
410002389,fort
410002390,fort
410002391,fort
410002392,fort
410002393,fort
410002394,fort
410002395,fort
410002396,fort
410002401,fort
410002403,fort
410002782,fort
410002783,fort
410002784,fort
410002785,fort
410002786,fort
410002787,fort
410002788,fort
410002789,fort
410002790,fort
410002792,fort
410002793,fort
410002794,fort
410002795,fort
410002796,fort
410002798,fort
410002799,fort
410002800,fort
410001554,fort
410834191,fort
410816449,fort
410816450,fort
410816451,fort
410001560,fort
410001562,fort
410834192,fort
410001567,fort
410001572,fort
410001573,fort
410001574,fort
410001578,fort
410001581,fort
410001584,fort
410001590,fort
410001971,fort
410001974,fort
410001976,fort
410001977,fort
410001978,fort
410001979,fort
410001980,fort
410001981,fort
410001983,fort
410001985,fort
410001986,fort
410001988,fort
410001990,fort
410001994,fort
410001995,fort
410002405,fort
410002407,fort
410002408,fort
410002409,fort
410002410,fort
410002411,fort
410002412,fort
410002413,fort
410002414,fort
410002415,fort
410002416,fort
410002417,fort
410002420,fort
410002421,fort
410002422,fort
410002423,fort
410002424,fort
410002425,fort
410002801,fort
410002802,fort
410002805,fort
410002806,fort
410002807,fort
410002808,fort
410002809,fort
410002811,fort
410002812,fort
410002813,fort
410002814,fort
410002815,fort
410002816,fort
410002817,fort
410002818,fort
410002819,fort
410002824,fort
410001591,fort
410001592,fort
410001593,fort
410001598,fort
410001601,fort
410001603,fort
410001606,fort
410001608,fort
410001609,fort
410001610,fort
410001614,fort
410001616,fort
410001618,fort
410001619,fort
410001620,fort
410001621,fort
410001996,fort
410001997,fort
410001998,fort
410002000,fort
410002001,fort
410002007,fort
410002011,fort
410002012,fort
410002017,fort
410002021,fort
410002023,fort
410002024,fort
410002026,fort
410002027,fort
410002028,fort
410002426,fort
410002428,fort
410002429,fort
410002431,fort
410002432,fort
410002433,fort
410002437,fort
410002438,fort
410002439,fort
410002440,fort
410002441,fort
410002444,fort
410002446,fort
410002448,fort
410002449,fort
410002450,fort
410002451,fort
410002452,fort
410002825,fort
410002826,fort
410002828,fort
410002829,fort
410002830,fort
410002831,fort
410002832,fort
416503122,fort
416503123,fort
410002836,fort
410002837,fort
410002838,fort
410002839,fort
410002840,fort
410002843,fort
410002844,fort
410002846,fort
410002847,fort
410002853,fort
410001624,fort
410001625,fort
410001627,fort
410001628,fort
410001629,fort
410001630,fort
410001631,fort
410001636,fort
410001637,fort
410001638,fort
410001640,fort
410001641,fort
410001644,fort
410001646,fort
410001649,fort
410001650,fort
410001651,fort
410001653,fort
410001654,fort
410001655,fort
410002029,fort
410002030,fort
410002031,fort
410002033,fort
410002035,fort
410002036,fort
410002037,fort
410002054,fort
410002055,fort
410002061,fort
410002062,fort
410002063,fort
410002454,fort
410002455,fort
410002456,fort
410002457,fort
410002458,fort
410002460,fort
410002461,fort
410002462,fort
410002465,fort
410002466,fort
410002468,fort
410002473,fort
410002474,fort
410002475,fort
410002476,fort
410002477,fort
410002478,fort
410002854,fort
410002855,fort
416503124,fort
416503125,fort
410002861,fort
410002862,fort
410002865,fort
410002866,fort
410002867,fort
410002868,fort
410002871,fort
410002872,fort
410002874,fort
410002875,fort
410002876,fort
410002877,fort
410002878,fort
410001656,fort
410001658,fort
410001659,fort
410001660,fort
410001663,moyen
410001667,fort
410001668,fort
410001670,moyen
410001672,fort
410001673,fort
410001675,fort
410001676,fort
410001677,fort
410001678,fort
410001680,fort
410002064,fort
410002065,fort
410002066,fort
410002067,fort
410002068,fort
410002069,fort
410002070,fort
410002071,fort
410002072,fort
410002073,fort
410002074,fort
410002075,fort
410002076,fort
410002077,fort
410002078,fort
410002079,fort
410002080,fort
410002089,fort
410002479,fort
410002480,fort
410002481,fort
410002482,fort
410002483,fort
410002484,fort
410002485,fort
410002490,fort
410002493,fort
410002494,fort
410002495,fort
410002496,fort
410002498,fort
410002499,fort
410002500,fort
410002879,fort
410002880,fort
410002881,fort
410002882,fort
410002883,fort
410002884,fort
410002885,fort
410002887,moyen
410002888,fort
410002889,fort
410002890,fort
410002891,fort
410002892,fort
410002893,fort
410002894,fort
410002895,fort
410001683,fort
410001684,fort
410001686,fort
410847175,nul
410001690,fort
410001691,fort
410001692,fort
410001693,fort
410001694,fort
410001695,fort
410001699,fort
410001700,fort
410001701,fort
410002090,fort
410002091,fort
410002092,fort
410002093,fort
410002094,fort
410002097,fort
410002098,fort
410002107,fort
410002110,fort
410002115,fort
410002116,fort
410002117,fort
410002118,fort
410002119,fort
410002502,fort
410002503,fort
410002505,fort
410002506,fort
410002507,fort
410002508,fort
410002509,fort
410002511,fort
410002512,fort
410002513,fort
410002517,fort
410002518,fort
410002519,fort
410002520,fort
410002521,fort
410002522,fort
410002523,fort
410002524,fort
410898241,moyen
410002901,fort
410002902,fort
410002903,fort
410002904,fort
410002905,fort
410002906,fort
410898242,moyen
410002908,fort
410002909,moyen
410898243,moyen
410002913,fort
410002914,fort
410002917,moyen
410002918,fort
410001704,fort
410001706,fort
410001708,fort
417003050,nul
417003051,nul
410001712,fort
410001713,fort
410001714,fort
410001715,fort
410001716,fort
410001718,fort
410001721,fort
410001722,fort
410001723,fort
410002120,fort
410002121,fort
410002129,fort
410002130,fort
410002131,fort
410002132,fort
410002133,fort
410002135,fort
410002136,fort
410002138,fort
410002141,fort
410002142,fort
410002145,fort
410002147,fort
410002148,fort
410002525,fort
410002526,fort
410002529,fort
410002530,fort
410002531,fort
410002534,fort
410002536,fort
410002537,fort
410002539,fort
410002540,fort
410002541,fort
410002542,fort
410002543,fort
410002544,fort
410002545,fort
410002546,fort
410002547,moyen
410002549,fort
410002550,fort
410003978,fort
410003979,fort
410003980,fort
410003982,fort
410003983,fort
410003984,fort
410003985,fort
410003986,fort
410003987,fort
410003988,fort
410003989,fort
410003990,fort
410003991,fort
410003992,fort
410003993,fort
410003994,fort
410003995,fort
410003996,fort
410003997,fort
410004411,moyen
410004414,moyen
410004415,moyen
410004416,moyen
410004420,moyen
410004422,fort
410004423,fort
410004424,fort
410004427,fort
410004431,moyen
410004434,fort
410004436,moyen
410004438,fort
410004442,fort
410004443,fort
410004444,fort
410004445,fort
410003259,fort
410003260,fort
410003261,fort
410003262,fort
410003263,fort
410003265,fort
410003266,fort
410003267,fort
410003268,fort
410003269,fort
410003270,fort
410003271,fort
410003273,fort
410003274,fort
410003275,fort
410003277,fort
410003278,fort
410003279,fort
410003280,fort
